/usr/bin/python2.7 /home/jwj/workspace/python/mxnet_dec/dec.py
INFO:root:Iter:30000 metric:0.140651
INFO:root:Iter:31000 metric:0.139196
INFO:root:Iter:32000 metric:0.137676
INFO:root:Iter:33000 metric:0.136205
INFO:root:Iter:34000 metric:0.134902
INFO:root:Iter:35000 metric:0.133741
INFO:root:Iter:36000 metric:0.132643
INFO:root:Iter:37000 metric:0.131506
INFO:root:Iter:38000 metric:0.130427
INFO:root:Iter:39000 metric:0.129347
INFO:root:Iter:40000 metric:0.128401
INFO:root:Iter:41000 metric:0.127506
INFO:root:Iter:42000 metric:0.126794
INFO:root:Iter:43000 metric:0.125913
INFO:root:Iter:44000 metric:0.125011
INFO:root:Iter:45000 metric:0.124262
INFO:root:Iter:46000 metric:0.123568
INFO:root:Iter:47000 metric:0.122991
INFO:root:Iter:48000 metric:0.122336
INFO:root:Iter:49000 metric:0.121587
INFO:root:Pre-training layer 2...
INFO:root:Iter:0 metric:0.121480
INFO:root:Iter:1000 metric:0.415367
INFO:root:Iter:2000 metric:0.350031
INFO:root:Iter:3000 metric:0.311199
INFO:root:Iter:4000 metric:0.280672
INFO:root:Iter:5000 metric:0.257474
INFO:root:Iter:6000 metric:0.239455
INFO:root:Iter:7000 metric:0.225226
INFO:root:Iter:8000 metric:0.213754
INFO:root:Iter:9000 metric:0.204291
INFO:root:Iter:10000 metric:0.196196
INFO:root:Iter:11000 metric:0.189220
INFO:root:Iter:12000 metric:0.183119
INFO:root:Iter:13000 metric:0.177689
INFO:root:Iter:14000 metric:0.172823
INFO:root:Iter:15000 metric:0.168443
INFO:root:Iter:16000 metric:0.164415
INFO:root:Iter:17000 metric:0.160707
INFO:root:Iter:18000 metric:0.157319
INFO:root:Iter:19000 metric:0.154178
INFO:root:Iter:20000 metric:0.151267
INFO:root:Iter:21000 metric:0.148563
INFO:root:Iter:22000 metric:0.145977
INFO:root:Iter:23000 metric:0.143597
INFO:root:Iter:24000 metric:0.141331
INFO:root:Iter:25000 metric:0.139175
INFO:root:Iter:26000 metric:0.137147
INFO:root:Iter:27000 metric:0.135272
INFO:root:Iter:28000 metric:0.133385
INFO:root:Iter:29000 metric:0.131694
INFO:root:Iter:30000 metric:0.130021
INFO:root:Iter:31000 metric:0.128455
INFO:root:Iter:32000 metric:0.126983
INFO:root:Iter:33000 metric:0.125553
INFO:root:Iter:34000 metric:0.124161
INFO:root:Iter:35000 metric:0.122849
INFO:root:Iter:36000 metric:0.121560
INFO:root:Iter:37000 metric:0.120343
INFO:root:Iter:38000 metric:0.119192
INFO:root:Iter:39000 metric:0.118013
INFO:root:Iter:40000 metric:0.116978
INFO:root:Iter:41000 metric:0.115949
INFO:root:Iter:42000 metric:0.114956
INFO:root:Iter:43000 metric:0.114016
INFO:root:Iter:44000 metric:0.113050
INFO:root:Iter:45000 metric:0.112128
INFO:root:Iter:46000 metric:0.111261
INFO:root:Iter:47000 metric:0.110417
INFO:root:Iter:48000 metric:0.109590
INFO:root:Iter:49000 metric:0.108778
INFO:root:Pre-training layer 3...
INFO:root:Iter:0 metric:0.107944
INFO:root:Iter:1000 metric:0.035976
INFO:root:Iter:2000 metric:0.035909
INFO:root:Iter:3000 metric:0.035851
INFO:root:Iter:4000 metric:0.035791
INFO:root:Iter:5000 metric:0.035734
INFO:root:Iter:6000 metric:0.035670
INFO:root:Iter:7000 metric:0.035609
INFO:root:Iter:8000 metric:0.035535
INFO:root:Iter:9000 metric:0.035465
INFO:root:Iter:10000 metric:0.035380
INFO:root:Iter:11000 metric:0.035293
INFO:root:Iter:12000 metric:0.035196
INFO:root:Iter:13000 metric:0.035088
INFO:root:Iter:14000 metric:0.034970
INFO:root:Iter:15000 metric:0.034841
INFO:root:Iter:16000 metric:0.034700
INFO:root:Iter:17000 metric:0.034545
INFO:root:Iter:18000 metric:0.034375
INFO:root:Iter:19000 metric:0.034194
INFO:root:Iter:20000 metric:0.034000
INFO:root:Iter:21000 metric:0.033788
INFO:root:Iter:22000 metric:0.033561
INFO:root:Iter:23000 metric:0.033321
INFO:root:Iter:24000 metric:0.033067
INFO:root:Iter:25000 metric:0.032805
INFO:root:Iter:26000 metric:0.032526
INFO:root:Iter:27000 metric:0.032247
INFO:root:Iter:28000 metric:0.031953
INFO:root:Iter:29000 metric:0.031671
INFO:root:Iter:30000 metric:0.031379
INFO:root:Iter:31000 metric:0.031090
INFO:root:Iter:32000 metric:0.030810
INFO:root:Iter:33000 metric:0.030541
INFO:root:Iter:34000 metric:0.030274
INFO:root:Iter:35000 metric:0.030030
INFO:root:Iter:36000 metric:0.029796
INFO:root:Iter:37000 metric:0.029572
INFO:root:Iter:38000 metric:0.029364
INFO:root:Iter:39000 metric:0.029166
INFO:root:Iter:40000 metric:0.028985
INFO:root:Iter:41000 metric:0.028811
INFO:root:Iter:42000 metric:0.028654
INFO:root:Iter:43000 metric:0.028509
INFO:root:Iter:44000 metric:0.028374
INFO:root:Iter:45000 metric:0.028254
INFO:root:Iter:46000 metric:0.028139
INFO:root:Iter:47000 metric:0.028041
INFO:root:Iter:48000 metric:0.027947
INFO:root:Iter:49000 metric:0.027866
INFO:root:Fine tuning...
INFO:root:Iter:0 metric:0.997731
INFO:root:Iter:1000 metric:0.290161
INFO:root:Iter:2000 metric:0.222940
INFO:root:Iter:3000 metric:0.205708
INFO:root:Iter:4000 metric:0.195300
INFO:root:Iter:5000 metric:0.187970
INFO:root:Iter:6000 metric:0.182831
INFO:root:Iter:7000 metric:0.178740
INFO:root:Iter:8000 metric:0.175326
INFO:root:Iter:9000 metric:0.171688
INFO:root:Iter:10000 metric:0.168701
INFO:root:Iter:11000 metric:0.166480
INFO:root:Iter:12000 metric:0.164478
INFO:root:Iter:13000 metric:0.163189
INFO:root:Iter:14000 metric:0.161753
INFO:root:Iter:15000 metric:0.159891
INFO:root:Iter:16000 metric:0.158698
INFO:root:Iter:17000 metric:0.156761
INFO:root:Iter:18000 metric:0.154840
INFO:root:Iter:19000 metric:0.153953
INFO:root:At Iteration [20000]: Swith to new learning rate 0.01000
INFO:root:Iter:20000 metric:0.153280
INFO:root:Iter:21000 metric:0.147157
INFO:root:Iter:22000 metric:0.146211
INFO:root:Iter:23000 metric:0.145901
INFO:root:Iter:24000 metric:0.145710
INFO:root:Iter:25000 metric:0.145473
INFO:root:Iter:26000 metric:0.145264
INFO:root:Iter:27000 metric:0.145076
INFO:root:Iter:28000 metric:0.144897
INFO:root:Iter:29000 metric:0.144719
INFO:root:Iter:30000 metric:0.144556
INFO:root:Iter:31000 metric:0.144390
INFO:root:Iter:32000 metric:0.144250
INFO:root:Iter:33000 metric:0.144104
INFO:root:Iter:34000 metric:0.143923
INFO:root:Iter:35000 metric:0.143794
INFO:root:Iter:36000 metric:0.143647
INFO:root:Iter:37000 metric:0.143524
INFO:root:Iter:38000 metric:0.143377
INFO:root:Iter:39000 metric:0.143228
INFO:root:At Iteration [40000]: Swith to new learning rate 0.00100
INFO:root:Iter:40000 metric:0.143126
INFO:root:Iter:41000 metric:0.142519
INFO:root:Iter:42000 metric:0.142432
INFO:root:Iter:43000 metric:0.142403
INFO:root:Iter:44000 metric:0.142372
INFO:root:Iter:45000 metric:0.142340
INFO:root:Iter:46000 metric:0.142355
INFO:root:Iter:47000 metric:0.142303
INFO:root:Iter:48000 metric:0.142331
INFO:root:Iter:49000 metric:0.142279
INFO:root:Iter:50000 metric:0.142284
INFO:root:Iter:51000 metric:0.142252
INFO:root:Iter:52000 metric:0.142258
INFO:root:Iter:53000 metric:0.142225
INFO:root:Iter:54000 metric:0.142209
INFO:root:Iter:55000 metric:0.142209
INFO:root:Iter:56000 metric:0.142227
INFO:root:Iter:57000 metric:0.142161
INFO:root:Iter:58000 metric:0.142183
INFO:root:Iter:59000 metric:0.142142
INFO:root:At Iteration [60000]: Swith to new learning rate 0.00010
INFO:root:Iter:60000 metric:0.142133
INFO:root:Iter:61000 metric:0.142034
INFO:root:Iter:62000 metric:0.142039
INFO:root:Iter:63000 metric:0.142032
INFO:root:Iter:64000 metric:0.142045
INFO:root:Iter:65000 metric:0.142009
INFO:root:Iter:66000 metric:0.142045
INFO:root:Iter:67000 metric:0.142014
INFO:root:Iter:68000 metric:0.142027
INFO:root:Iter:69000 metric:0.142028
INFO:root:Iter:70000 metric:0.142006
INFO:root:Iter:71000 metric:0.142055
INFO:root:Iter:72000 metric:0.142047
INFO:root:Iter:73000 metric:0.142012
INFO:root:Iter:74000 metric:0.142038
INFO:root:Iter:75000 metric:0.142025
INFO:root:Iter:76000 metric:0.142002
INFO:root:Iter:77000 metric:0.142004
INFO:root:Iter:78000 metric:0.142007
INFO:root:Iter:79000 metric:0.142008
INFO:root:At Iteration [80000]: Swith to new learning rate 0.00001
INFO:root:Iter:80000 metric:0.142014
INFO:root:Iter:81000 metric:0.141986
INFO:root:Iter:82000 metric:0.142006
INFO:root:Iter:83000 metric:0.141980
INFO:root:Iter:84000 metric:0.142003
INFO:root:Iter:85000 metric:0.141997
INFO:root:Iter:86000 metric:0.141981
INFO:root:Iter:87000 metric:0.142031
INFO:root:Iter:88000 metric:0.142011
INFO:root:Iter:89000 metric:0.142001
INFO:root:Iter:90000 metric:0.141998
INFO:root:Iter:91000 metric:0.141998
INFO:root:Iter:92000 metric:0.141990
INFO:root:Iter:93000 metric:0.141991
INFO:root:Iter:94000 metric:0.141988
INFO:root:Iter:95000 metric:0.142001
INFO:root:Iter:96000 metric:0.142008
INFO:root:Iter:97000 metric:0.141978
INFO:root:Iter:98000 metric:0.141994
INFO:root:Iter:99000 metric:0.141988
INFO:root:At Iteration [100000]: Swith to new learning rate 0.00000
Traceback (most recent call last):
  File "/home/jwj/workspace/python/mxnet_dec/dec.py", line 173, in <module>
    mnist_exp(mx.cpu(0))
  File "/home/jwj/workspace/python/mxnet_dec/dec.py", line 163, in mnist_exp
    dec_model = DECModel(xpu, X, 10, 1.0, 'data/mnist')
  File "/home/jwj/source_code/mxnet/incubator-mxnet/example/autoencoder/model.py", line 62, in __init__
    self.setup(*args, **kwargs)
  File "/home/jwj/workspace/python/mxnet_dec/dec.py", line 93, in setup
    ae_model.save(save_to+'_pt.arg')
  File "/home/jwj/source_code/mxnet/incubator-mxnet/example/autoencoder/model.py", line 66, in save
    with open(fname, 'wb') as fout:
IOError: [Errno 2] No such file or directory: 'data/mnist_pt.arg'

Process finished with exit code 1
